index,appid,name,numPlayer,totalTime,price,avgTime(h)PerP,avgCostPerHourPerPerson
12557,641392,"Miss Kobayashi's Dragon Maid: Start of a New Life! (That Doesn't Go Well, Of Course)",2,0,0.99,0,inf
12594,641400,"Miss Kobayashi's Dragon Maid: Year End, New Year! (No Comiket Bit This Time)",2,0,0.99,0,inf
12601,655566,Chaos;Child: Untitled,2,0,0.99,0,inf
12612,552310,Anguished,2,0,0.99,0,inf
12639,655562,Chaos;Child: School Festival,2,0,0.99,0,inf
12648,608285,Re:ZERO -Starting Life in Another World-: The Greed of a Pig,2,0,0.99,0,inf
12685,608287,Re:ZERO -Starting Life in Another World-: From Zero,2,0,0.99,0,inf
12689,655564,Chaos;Child: Gigalomaniacs,2,0,0.99,0,inf
12743,608289,Re:ZERO -Starting Life in Another World-: Wilhelm van Astrea,2,0,0.99,0,inf
12758,655568,Chaos;Child: Duel,2,0,0.99,0,inf
12759,655563,Chaos;Child: Her Words,2,0,0.99,0,inf
12774,608896,Mob Psycho 100: Exaltation ~I've Obtained Loss~,2,0,0.99,0,inf
12775,608897,Mob Psycho 100: The Older Brother Bows ~Destructive Intent~,2,0,0.99,0,inf
12777,608900,Mob Psycho 100: Master ~Leader~,2,0,0.99,0,inf
12783,655561,Chaos;Child: Sumo Sticker,2,0,0.99,0,inf
12814,608294,Re:ZERO -Starting Life in Another World-: That's All This Story Is About,2,0,0.99,0,inf
12833,655569,Chaos;Child: Memories Stalk You From the Past,2,0,0.99,0,inf
12916,655567,Chaos;Child: Heads or Tails,2,0,0.99,0,inf
12929,672110,AppleSnake,2,0,0.99,0,inf
12980,693680,O! STRELALKA!!!,2,0,0.99,0,inf
13009,608901,Mob Psycho 100: Mob and Reigen ~A Giant Tsuchinoko Appears~,2,0,0.99,0,inf
13019,641398,Miss Kobayashi's Dragon Maid: Sports Festival! (There's No Twist Or Anything),2,0,0.99,0,inf
13023,608895,Mob Psycho 100: Discord ~To Become One~,2,0,0.99,0,inf
13024,571850,Investigator - New Year DLC,2,0,0.99,0,inf
13035,666690,Animal Crush,2,0,0.99,0,inf
13042,641401,Miss Kobayashi's Dragon Maid: Tohru and Kobayashi's Impactful Meeting! (We're Raising the Bar on Ourselves),2,0,0.99,0,inf
13043,641395,Miss Kobayashi's Dragon Maid: Home Visit! (And Homes Not Visited),2,0,0.99,0,inf
13089,608898,"Mob Psycho 100: ""Claw"" ~7th Division~",2,0,0.99,0,inf
13090,608290,Re:ZERO -Starting Life in Another World-: A Wager That Defies Despair,2,0,0.99,0,inf
13146,693720,NeonGalaxy Wars,2,0,0.99,0,inf
13202,660040,Diving Trunks,2,0,0.99,0,inf
13210,608286,Re:ZERO -Starting Life in Another World-: Disgrace in the Extreme,2,0,0.99,0,inf
13218,655571,Chaos;Child: Serika Onoe,2,0,0.99,0,inf
13248,641393,Miss Kobayashi's Dragon Maid: Kanna Goes to School! (Not that she needs to.),2,0,0.99,0,inf
13251,672260,Fish for gold,2,0,0.99,0,inf
13284,641397,"Miss Kobayashi's Dragon Maid: New Dragon, Elma! (She's Finally Appearing, Huh?)",2,0,0.99,0,inf
13306,655570,Chaos;Child: Takuru Miyashiro,2,0,0.99,0,inf
13320,381130,Karma,2,0,0.99,0,inf
13351,681410,Adventures of the Worm,2,0,0.99,0,inf
13367,608284,Re:ZERO -Starting Life in Another World-: The Outside of Madness,2,0,0.99,0,inf
13393,343690,Silicone-2,2,0,0.99,0,inf
13399,608282,Re:ZERO -Starting Life in Another World-: Self-Proclaimed Knight Natsuki Subaru,2,0,0.99,0,inf
13422,641399,"Miss Kobayashi's Dragon Maid: Troupe Dragon, On Stage! (They Had A Troupe Name, Huh)",2,0,0.99,0,inf
13435,608899,Mob Psycho 100: The Heinous Aura ~Mastermind~,2,0,0.99,0,inf
13449,685390,Pain Train PainPocalypse,2,0,0.99,0,inf
13463,608283,Re:ZERO -Starting Life in Another World-: The Sickness Called Despair,2,0,0.99,0,inf
13464,696400,NeoBoom,2,0,0.99,0,inf
13476,655565,Chaos;Child: Their Resistance,2,0,0.99,0,inf
